t_s,a_x_nm,a_y_nm,a_alt_ft,b_x_nm,b_y_nm,b_alt_ft
88.0,8.799999999999985,0.0,30000.0,11.199999999999962,1.0776891832496722e-15,30000.0
89.0,8.899999999999984,0.0,30000.0,11.099999999999962,1.0899356512411457e-15,30000.0
90.0,8.999999999999984,0.0,30000.0,10.999999999999963,1.1021821192326193e-15,30000.0
91.0,9.099999999999984,0.0,30000.0,10.899999999999963,1.1144285872240928e-15,30000.0
92.0,9.199999999999983,0.0,30000.0,10.799999999999963,1.1266750552155664e-15,30000.0
93.0,9.299999999999983,0.0,30000.0,10.699999999999964,1.13892152320704e-15,30000.0
94.0,9.399999999999983,0.0,30000.0,10.599999999999964,1.1511679911985135e-15,30000.0
95.0,9.499999999999982,0.0,30000.0,10.499999999999964,1.163414459189987e-15,30000.0
96.0,9.599999999999982,0.0,30000.0,10.399999999999965,1.1756609271814606e-15,30000.0
97.0,9.699999999999982,0.0,30000.0,10.299999999999965,1.1879073951729342e-15,30000.0
98.0,9.799999999999981,0.0,30000.0,10.199999999999966,1.2001538631644077e-15,30000.0
99.0,9.89999999999998,0.0,30000.0,10.099999999999966,1.2124003311558813e-15,30000.0
100.0,9.99999999999998,0.0,30000.0,9.999999999999966,1.2246467991473548e-15,30000.0
101.0,10.09999999999998,0.0,30000.0,9.899999999999967,1.2368932671388284e-15,30000.0
102.0,10.19999999999998,0.0,30000.0,9.799999999999967,1.249139735130302e-15,30000.0
103.0,10.29999999999998,0.0,30000.0,9.699999999999967,1.2613862031217755e-15,30000.0
104.0,10.399999999999979,0.0,30000.0,9.599999999999968,1.273632671113249e-15,30000.0
105.0,10.499999999999979,0.0,30000.0,9.499999999999968,1.2858791391047226e-15,30000.0
106.0,10.599999999999978,0.0,30000.0,9.399999999999968,1.2981256070961962e-15,30000.0
107.0,10.699999999999978,0.0,30000.0,9.299999999999969,1.3103720750876697e-15,30000.0
108.0,10.799999999999978,0.0,30000.0,9.199999999999969,1.3226185430791433e-15,30000.0
109.0,10.899999999999977,0.0,30000.0,9.09999999999997,1.3348650110706168e-15,30000.0
110.0,10.999999999999977,0.0,30000.0,8.99999999999997,1.3471114790620904e-15,30000.0
111.0,11.099999999999977,0.0,30000.0,8.89999999999997,1.359357947053564e-15,30000.0
112.0,11.199999999999976,0.0,30000.0,8.79999999999997,1.3716044150450375e-15,30000.0
113.0,11.299999999999976,0.0,30000.0,8.69999999999997,1.383850883036511e-15,30000.0
114.0,11.399999999999975,0.0,30000.0,8.599999999999971,1.3960973510279846e-15,30000.0
115.0,11.499999999999975,0.0,30000.0,8.499999999999972,1.4083438190194581e-15,30000.0
116.0,11.599999999999975,0.0,30000.0,8.399999999999972,1.4205902870109317e-15,30000.0
117.0,11.699999999999974,0.0,30000.0,8.299999999999972,1.4328367550024053e-15,30000.0
118.0,11.799999999999974,0.0,30000.0,8.199999999999973,1.4450832229938788e-15,30000.0
119.0,11.899999999999974,0.0,30000.0,8.099999999999973,1.4573296909853524e-15,30000.0
120.0,11.999999999999973,0.0,30000.0,7.999999999999973,1.469576158976826e-15,30000.0
